frequency,amp_x,amp_y,amp_z
0.000000,0.000527,0.000142,0.000985
1.000000,0.001831,0.000301,0.002546
2.000000,0.003841,0.001823,0.003639
3.000000,0.014081,0.009000,0.012026
4.000000,0.055929,0.030692,0.094026
5.000000,0.126056,0.091318,0.079822
6.000000,0.171698,0.141261,0.050752
7.000000,0.244287,0.097827,0.080130
8.000000,0.151837,0.092441,0.122268
9.000000,0.044490,0.061805,0.114419
10.000000,0.116988,0.023776,0.113574
11.000000,0.065828,0.009463,1.025756
12.000000,0.055646,0.016268,1.166028
13.000000,0.077560,0.026129,0.281618
14.000000,0.104376,0.037237,0.024707
15.000000,0.084704,0.057509,0.044699
16.000000,0.062863,0.038801,0.028951
17.000000,0.033518,0.028024,0.010743
18.000000,0.007631,0.007290,0.049870
19.000000,0.009155,0.023424,0.030704
20.000000,0.011772,0.035843,0.012105
21.000000,0.025191,0.043458,0.028519
22.000000,0.648390,0.053041,0.020400
23.000000,1.666383,0.041932,0.014857
24.000000,1.084107,0.013678,0.015661
25.000000,0.100950,0.012144,0.008119
26.000000,0.043422,0.009272,0.006735
27.000000,0.031928,0.010211,0.031852
28.000000,0.007619,0.034000,0.041195
29.000000,0.011170,0.044871,0.037404
30.000000,0.006996,0.035575,0.016849
31.000000,0.020331,0.041913,0.041552
32.000000,0.022986,0.039611,0.029749
33.000000,0.007658,0.006985,0.011115
34.000000,0.018691,0.007938,0.015122
35.000000,0.037698,0.016408,0.016601
36.000000,0.015050,0.009331,0.017902
37.000000,0.013800,0.011643,0.022411
38.000000,0.033653,0.007677,0.026071
39.000000,0.029594,0.008782,0.020987
40.000000,0.004434,0.012320,0.018863
41.000000,0.007946,0.008367,0.015072
42.000000,0.009211,0.006855,0.006449
43.000000,0.011846,0.005216,0.019770
44.000000,0.018401,0.025812,0.006795
45.000000,0.010663,0.128596,0.137952
46.000000,0.010615,0.477977,0.450017
47.000000,0.013188,0.392408,0.367859
48.000000,0.013840,0.047684,0.052614
49.000000,0.008005,0.025275,0.005769
50.000000,0.011577,0.019736,0.009812
51.000000,0.014566,0.033193,0.005704
52.000000,0.014823,0.023854,0.006226
53.000000,0.007313,0.011003,0.014358
54.000000,0.010232,0.005210,0.011449
55.000000,0.010766,0.011101,0.011204
56.000000,0.020450,0.017239,0.015021
57.000000,0.017706,0.008338,0.005108
58.000000,0.008830,0.005637,0.008452
59.000000,0.004352,0.004133,0.004049
60.000000,0.003248,0.008840,0.008696
61.000000,0.006975,0.010038,0.008169
62.000000,0.012026,0.001583,0.004569
63.000000,0.011962,0.006978,0.004255
64.000000,0.008174,0.007398,0.004441
65.000000,0.016183,0.006691,0.008535
66.000000,0.017928,0.007201,0.005935
67.000000,0.007817,0.004410,0.002889
68.000000,0.000175,0.002655,0.002539
69.000000,0.010270,0.006158,0.004322
70.000000,0.008505,0.008443,0.002945
71.000000,0.005030,0.008967,0.003811
72.000000,0.007644,0.002909,0.005860
73.000000,0.005462,0.009649,0.008572
74.000000,0.005413,0.011910,0.005948
75.000000,0.009923,0.003386,0.009674
76.000000,0.008230,0.005800,0.001512
77.000000,0.001421,0.006860,0.006002
78.000000,0.004593,0.010059,0.003689
79.000000,0.006457,0.008892,0.001497
80.000000,0.010728,0.005944,0.008488
81.000000,0.001938,0.001512,0.010534
82.000000,0.009988,0.002945,0.009712
83.000000,0.005427,0.004065,0.010726
84.000000,0.004944,0.007439,0.004842
85.000000,0.008796,0.010724,0.005998
86.000000,0.010218,0.007291,0.013169
87.000000,0.006744,0.001389,0.006393
88.000000,0.007637,0.007860,0.008697
89.000000,0.008257,0.007963,0.010417
90.000000,0.005270,0.009402,0.010876
91.000000,0.006489,0.002909,0.007500
92.000000,0.008706,0.009197,0.005411
93.000000,0.008809,0.010251,0.003467
94.000000,0.005006,0.000405,0.002178
95.000000,0.006301,0.007425,0.007778
96.000000,0.012391,0.003939,0.007452
97.000000,0.008027,0.003634,0.011981
98.000000,0.004199,0.002699,0.007955
99.000000,0.006100,0.006327,0.002624
100.000000,0.005275,0.007072,0.005115
101.000000,0.006967,0.007494,0.006458
102.000000,0.003361,0.007143,0.007644
103.000000,0.003393,0.004606,0.007810
104.000000,0.009195,0.005863,0.006266
105.000000,0.004035,0.008234,0.004847
106.000000,0.002529,0.010246,0.003653
107.000000,0.007318,0.010077,0.004859
108.000000,0.010274,0.011516,0.005574
109.000000,0.008879,0.010553,0.002930
110.000000,0.005461,0.005638,0.003639
111.000000,0.000506,0.002261,0.006548
112.000000,0.005359,0.003735,0.007466
113.000000,0.006066,0.001477,0.008045
114.000000,0.007346,0.005633,0.012304
115.000000,0.002933,0.005520,0.011151
116.000000,0.003261,0.002460,0.003388
117.000000,0.003607,0.004815,0.002884
118.000000,0.006092,0.004080,0.006113
119.000000,0.003816,0.005615,0.006222
120.000000,0.006283,0.007570,0.007435
121.000000,0.005608,0.007645,0.006296
122.000000,0.003585,0.007544,0.003160
123.000000,0.004760,0.008453,0.003409
124.000000,0.010785,0.006461,0.003652
125.000000,0.010299,0.005299,0.005291
126.000000,0.005543,0.002659,0.009556
127.000000,0.005494,0.004024,0.003661
128.000000,0.005402,0.003892,0.003602
129.000000,0.001833,0.004412,0.003704
130.000000,0.005141,0.006886,0.001096
131.000000,0.001621,0.005642,0.002874
132.000000,0.003144,0.004551,0.004534
133.000000,0.002582,0.005180,0.006554
134.000000,0.002810,0.004039,0.006763
135.000000,0.006089,0.003333,0.005079
136.000000,0.006538,0.002596,0.004915
137.000000,0.003418,0.001773,0.005949
138.000000,0.005881,0.003495,0.007128
139.000000,0.005417,0.003518,0.006877
140.000000,0.005913,0.005818,0.004328
141.000000,0.005081,0.001945,0.002690
142.000000,0.005819,0.007880,0.005698
143.000000,0.007432,0.007431,0.004366
144.000000,0.005191,0.001256,0.003108
145.000000,0.006388,0.004130,0.003238
146.000000,0.003568,0.001264,0.001339
147.000000,0.004336,0.003520,0.001731
148.000000,0.006253,0.005918,0.001915
149.000000,0.004127,0.005523,0.004738
150.000000,0.002517,0.002607,0.003311
151.000000,0.005409,0.003327,0.003190
152.000000,0.006291,0.006507,0.004866
153.000000,0.004905,0.003905,0.003040
154.000000,0.001681,0.001289,0.004851
155.000000,0.002415,0.004119,0.004599
156.000000,0.003731,0.005980,0.003178
157.000000,0.003729,0.004859,0.003379
158.000000,0.004688,0.006087,0.003134
159.000000,0.007863,0.007512,0.002739
160.000000,0.004680,0.007819,0.003977
161.000000,0.002425,0.005446,0.004886
162.000000,0.003674,0.002149,0.005926
163.000000,0.002557,0.004096,0.006227
164.000000,0.001266,0.004689,0.004173
165.000000,0.001002,0.001411,0.001435
166.000000,0.002260,0.001569,0.002540
167.000000,0.002994,0.000687,0.006183
168.000000,0.000843,0.002163,0.004063
169.000000,0.002804,0.004189,0.002165
170.000000,0.004174,0.001828,0.004073
171.000000,0.003190,0.007176,0.002197
172.000000,0.000861,0.006035,0.001636
173.000000,0.002406,0.004174,0.001410
174.000000,0.001513,0.004108,0.002717
175.000000,0.003354,0.001123,0.002360
176.000000,0.003661,0.000745,0.001905
177.000000,0.003814,0.003160,0.003094
178.000000,0.001999,0.002055,0.003260
179.000000,0.001688,0.005494,0.000460
180.000000,0.000787,0.005189,0.001262
181.000000,0.002408,0.003470,0.001880
182.000000,0.002026,0.002695,0.003156
183.000000,0.000776,0.003732,0.003731
184.000000,0.001816,0.004962,0.002091
185.000000,0.001265,0.002679,0.000652
186.000000,0.004671,0.003947,0.002051
187.000000,0.003544,0.004554,0.000684
188.000000,0.001735,0.003512,0.002864
189.000000,0.002879,0.002577,0.001680
190.000000,0.002815,0.001014,0.001291
191.000000,0.002152,0.001657,0.001425
192.000000,0.003612,0.004172,0.002824
193.000000,0.002627,0.002749,0.003267
194.000000,0.001453,0.004368,0.002452
195.000000,0.002912,0.005480,0.002463
196.000000,0.002406,0.002445,0.001665
197.000000,0.000785,0.000958,0.002210
198.000000,0.001208,0.000959,0.004524
199.000000,0.003110,0.001223,0.004526
200.000000,0.003583,0.002324,0.003140
201.000000,0.001742,0.002509,0.003642
202.000000,0.001572,0.002022,0.003798
203.000000,0.003851,0.001797,0.005206
204.000000,0.003504,0.000318,0.004705
205.000000,0.001919,0.002022,0.001356
206.000000,0.002905,0.003191,0.002163
207.000000,0.001150,0.001974,0.004298
208.000000,0.000774,0.001294,0.003050
209.000000,0.001912,0.000827,0.003024
210.000000,0.003041,0.001973,0.002461
211.000000,0.000982,0.002040,0.000939
212.000000,0.004929,0.001947,0.003240
213.000000,0.006395,0.002719,0.003358
214.000000,0.003013,0.001133,0.001719
215.000000,0.001384,0.000950,0.001385
216.000000,0.001507,0.003175,0.001320
217.000000,0.003055,0.003665,0.002626
218.000000,0.002433,0.002322,0.004090
219.000000,0.001595,0.003080,0.003381
220.000000,0.002800,0.002439,0.001751
221.000000,0.001986,0.001336,0.001084
222.000000,0.001698,0.002453,0.000755
223.000000,0.002211,0.002505,0.002086
224.000000,0.000712,0.002936,0.001441
225.000000,0.001750,0.002843,0.001237
226.000000,0.002126,0.000468,0.000171
227.000000,0.001063,0.002023,0.000975
228.000000,0.000956,0.002915,0.002056
229.000000,0.001450,0.000982,0.004290
230.000000,0.002468,0.001780,0.003263
231.000000,0.001631,0.002384,0.001080
232.000000,0.000446,0.002071,0.000886
233.000000,0.000362,0.001857,0.002570
234.000000,0.001742,0.001612,0.001566
235.000000,0.003053,0.001280,0.001130
236.000000,0.002623,0.000587,0.001100
237.000000,0.000823,0.001456,0.002933
238.000000,0.000835,0.001210,0.001651
239.000000,0.001899,0.001548,0.000595
240.000000,0.003009,0.003184,0.000779
241.000000,0.001803,0.002545,0.001949
242.000000,0.001135,0.000539,0.002470
243.000000,0.002116,0.001276,0.002677
244.000000,0.000466,0.002147,0.002337
245.000000,0.001623,0.002332,0.001917
246.000000,0.002567,0.001095,0.002137
247.000000,0.002631,0.001650,0.001482
248.000000,0.001982,0.000698,0.001120
249.000000,0.000927,0.001707,0.002414
250.000000,0.001426,0.001429,0.002778
251.000000,0.001789,0.001331,0.001668
252.000000,0.001473,0.000803,0.001346
253.000000,0.001045,0.001310,0.001058
254.000000,0.001747,0.001788,0.002022
255.000000,0.001140,0.001715,0.001987
256.000000,0.001391,0.001718,0.001621
257.000000,0.000793,0.001918,0.000877
258.000000,0.002572,0.001676,0.001130
259.000000,0.002992,0.000555,0.001089
260.000000,0.002072,0.001708,0.001077
261.000000,0.001308,0.002448,0.001544
262.000000,0.000475,0.000976,0.001782
263.000000,0.000639,0.001277,0.000666
264.000000,0.000603,0.001631,0.002248
265.000000,0.000468,0.001640,0.000974
266.000000,0.001112,0.001106,0.000638
267.000000,0.000415,0.000633,0.000311
268.000000,0.000578,0.000875,0.001180
269.000000,0.001641,0.000666,0.000974
270.000000,0.001041,0.000173,0.002100
271.000000,0.001222,0.001309,0.002185
272.000000,0.001443,0.000721,0.001897
273.000000,0.001587,0.000928,0.001991
274.000000,0.000773,0.001154,0.001741
275.000000,0.001153,0.000691,0.001596
276.000000,0.001533,0.001088,0.002043
277.000000,0.001173,0.001421,0.001397
278.000000,0.000307,0.001288,0.001712
279.000000,0.001077,0.001514,0.002213
280.000000,0.001650,0.001919,0.001635
281.000000,0.001768,0.001873,0.001185
282.000000,0.001966,0.001179,0.001464
283.000000,0.001571,0.001157,0.001527
284.000000,0.000683,0.002076,0.002616
285.000000,0.000905,0.001961,0.003647
286.000000,0.001124,0.000864,0.001887
287.000000,0.001003,0.000685,0.000738
288.000000,0.001109,0.000177,0.001669
289.000000,0.000455,0.000801,0.001378
290.000000,0.001222,0.000912,0.000703
291.000000,0.001580,0.000468,0.000462
292.000000,0.001377,0.000469,0.001129
293.000000,0.001397,0.000764,0.000921
294.000000,0.000914,0.001204,0.001527
295.000000,0.001201,0.000749,0.001987
296.000000,0.002260,0.001432,0.001125
297.000000,0.002092,0.000082,0.000093
298.000000,0.000035,0.000733,0.000614
299.000000,0.000792,0.000816,0.001591
300.000000,0.000362,0.001971,0.001036
301.000000,0.000682,0.001840,0.000428
302.000000,0.000722,0.000592,0.000707
303.000000,0.000705,0.000636,0.001189
304.000000,0.000185,0.000613,0.001226
305.000000,0.000842,0.001017,0.001363
306.000000,0.000646,0.002270,0.001207
307.000000,0.000621,0.002302,0.001496
308.000000,0.000828,0.001379,0.000959
309.000000,0.000272,0.001343,0.001007
310.000000,0.000557,0.001812,0.001139
311.000000,0.000126,0.001587,0.000708
312.000000,0.000916,0.000848,0.000421
313.000000,0.000751,0.000184,0.000095
314.000000,0.001181,0.000984,0.000050
315.000000,0.001018,0.001044,0.000465
316.000000,0.000656,0.000195,0.000371
317.000000,0.000876,0.000033,0.000399
318.000000,0.000716,0.000358,0.000221
319.000000,0.001082,0.000539,0.000405
320.000000,0.000423,0.000836,0.000617
321.000000,0.000265,0.001022,0.001238
322.000000,0.000332,0.000975,0.000825
323.000000,0.000291,0.000989,0.000442
324.000000,0.000152,0.000425,0.001194
325.000000,0.000371,0.000192,0.001275
326.000000,0.000396,0.000490,0.000888
327.000000,0.000744,0.001378,0.000168
328.000000,0.000414,0.001296,0.000124
329.000000,0.000668,0.000465,0.000780
330.000000,0.000386,0.000382,0.001004
331.000000,0.000594,0.000585,0.000491
332.000000,0.001061,0.000895,0.000567
333.000000,0.001133,0.000420,0.000654
334.000000,0.000556,0.001241,0.000283
335.000000,0.000471,0.001233,0.000220
336.000000,0.000286,0.000719,0.000118
337.000000,0.000975,0.000203,0.000403
338.000000,0.000718,0.000185,0.000715
339.000000,0.000236,0.000522,0.000880
340.000000,0.000287,0.000724,0.000570
341.000000,0.000382,0.000276,0.000104
342.000000,0.000419,0.000377,0.000068
343.000000,0.000575,0.000300,0.000274
344.000000,0.000215,0.000818,0.000434
345.000000,0.000565,0.000649,0.000339
346.000000,0.000906,0.000298,0.000372
347.000000,0.000523,0.000164,0.000612
348.000000,0.000307,0.000058,0.000590
349.000000,0.000129,0.000263,0.000341
350.000000,0.000308,0.000265,0.000161
351.000000,0.000637,0.000063,0.000295
352.000000,0.000553,0.000469,0.000210
353.000000,0.000202,0.000138,0.000311
354.000000,0.000826,0.000594,0.000547
355.000000,0.000472,0.000709,0.000540
356.000000,0.000250,0.000731,0.000950
357.000000,0.000323,0.000107,0.000613
358.000000,0.000286,0.000263,0.000100
359.000000,0.000436,0.000221,0.000248
360.000000,0.000327,0.000032,0.000207
361.000000,0.000214,0.000109,0.000108
362.000000,0.000146,0.000344,0.000277
363.000000,0.000245,0.000225,0.000387
364.000000,0.000243,0.000700,0.000272
365.000000,0.000249,0.000586,0.000243
366.000000,0.000061,0.000070,0.000489
367.000000,0.000039,0.000315,0.000483
368.000000,0.000190,0.000091,0.000382
369.000000,0.000210,0.000151,0.000470
370.000000,0.000174,0.000115,0.000153
371.000000,0.000323,0.000087,0.000333
372.000000,0.000272,0.000173,0.000284
373.000000,0.000095,0.000235,0.000163
374.000000,0.000197,0.000141,0.000125
375.000000,0.000056,0.000161,0.000251
376.000000,0.000231,0.000247,0.000185
377.000000,0.000222,0.000354,0.000024
378.000000,0.000242,0.000278,0.000030
379.000000,0.000262,0.000318,0.000060
380.000000,0.000166,0.000269,0.000135
381.000000,0.000256,0.000136,0.000177
382.000000,0.000367,0.000082,0.000209
383.000000,0.000367,0.000111,0.000054
384.000000,0.000338,0.000201,0.000017
385.000000,0.000358,0.000193,0.000085
386.000000,0.000240,0.000147,0.000122
387.000000,0.000235,0.000186,0.000160
388.000000,0.000185,0.000154,0.000063
389.000000,0.000047,0.000109,0.000096
390.000000,0.000114,0.000121,0.000117
391.000000,0.000133,0.000093,0.000065
392.000000,0.000012,0.000025,0.000025
393.000000,0.000135,0.000042,0.000017
394.000000,0.000094,0.000052,0.000045
395.000000,0.000045,0.000013,0.000041
396.000000,0.000017,0.000020,0.000027
397.000000,0.000031,0.000004,0.000023
398.000000,0.000057,0.000017,0.000018
399.000000,0.000211,0.000026,0.000040
400.000000,0.000036,0.000018,0.000008
