time,vx,vy,vz
0.000000,0.000000,0.000000,0.000000
0.001250,0.037128,0.050789,0.210221
0.002500,0.183545,0.131998,0.546242
0.003750,0.372413,0.346062,0.894334
0.005000,0.657284,0.676561,1.497305
0.006250,1.190097,1.006487,2.131910
0.007500,1.791148,1.271944,2.590341
0.008750,2.198600,1.419957,2.939053
0.010000,2.625063,1.496815,3.226523
0.011250,3.250312,1.434777,3.471087
0.012500,3.921964,1.245414,3.610547
0.013750,4.536459,0.951037,3.561608
0.015000,5.039403,0.622499,3.540038
0.016250,5.488690,0.251063,3.553162
0.017500,5.867007,-0.160532,3.430964
0.018750,6.114220,-0.514569,3.330809
0.020000,6.301229,-0.701306,3.302957
0.021250,6.510557,-0.767304,3.294610
0.022500,6.568148,-0.803621,3.512766
0.023750,6.440874,-0.664150,3.934490
0.025000,6.261905,-0.338927,4.350607
0.026250,5.916995,0.036777,4.909063
0.027500,5.540975,0.429638,5.666201
0.028750,5.140448,0.762311,6.376473
0.030000,4.702653,1.070277,6.884982
0.031250,4.100523,1.285531,7.200349
0.032500,3.382392,1.400303,7.327356
0.033750,2.691310,1.384505,7.345785
0.035000,1.979754,1.198703,7.279547
0.036250,1.433226,1.036994,7.068929
0.037500,1.014961,0.802690,6.705533
0.038750,0.729797,0.407428,6.280714
0.040000,0.540454,0.127834,5.987425
0.041250,0.293059,-0.088869,5.817592
0.042500,0.180775,-0.373403,5.668474
0.043750,0.295306,-0.422538,5.577991
0.045000,0.414219,-0.220973,5.633993
0.046250,0.593853,-0.015175,5.779001
0.047500,0.966354,0.202601,6.023473
0.048750,1.450743,0.593600,6.302262
0.050000,1.992692,0.983268,6.544120
0.051250,2.600456,1.263835,6.786744
0.052500,3.132106,1.476422,6.927581
0.053750,3.702673,1.524663,6.918632
0.055000,4.463664,1.565249,6.848824
0.056250,5.087112,1.451052,6.553583
0.057500,5.467718,1.091413,6.066557
0.058750,5.919064,0.749287,5.559793
0.060000,6.371759,0.412385,5.005348
0.061250,6.610013,0.078014,4.553553
0.062500,6.784502,-0.166555,4.159848
0.063750,6.901572,-0.328054,3.780210
0.065000,6.837898,-0.425485,3.512582
0.066250,6.621422,-0.376650,3.213696
0.067500,6.433202,-0.158829,2.995640
0.068750,6.253486,0.195792,2.939384
0.070000,5.821702,0.622232,2.868979
0.071250,5.316104,0.971759,2.900568
0.072500,4.839510,0.986250,3.000226
0.073750,4.250869,0.941242,3.064478
0.075000,3.670161,1.095782,2.936501
0.076250,3.020174,1.207941,2.674491
0.077500,2.331458,1.242259,2.413834
0.078750,1.721846,1.176460,2.033316
0.080000,1.223540,0.915979,1.595765
0.081250,0.825229,0.472978,1.113420
0.082500,0.496193,0.042120,0.693192
0.083750,0.250478,-0.266050,0.511107
0.085000,0.071817,-0.488208,0.367253
0.086250,0.024346,-0.521582,0.327984
0.087500,0.155257,-0.362808,0.515587
0.088750,0.372699,-0.204667,0.803114
0.090000,0.641611,0.071936,1.133494
0.091250,0.976705,0.369682,1.610887
0.092500,1.321420,0.742709,2.077359
0.093750,1.940143,1.100900,2.403137
0.095000,2.828257,1.223912,2.782173
0.096250,3.569032,1.322023,3.133997
0.097500,4.233133,1.276360,3.405659
0.098750,4.941042,1.084100,3.388119
0.100000,5.695852,0.936273,3.235948
0.101250,6.382444,0.747050,3.148043
0.102500,6.859087,0.484520,3.099062
0.103750,7.303660,0.093095,3.004680
0.105000,7.615173,-0.174471,2.924362
0.106250,7.670908,-0.358448,3.014991
0.107500,7.759250,-0.689479,3.055316
0.108750,7.787939,-0.830417,3.212634
0.110000,7.602188,-0.738298,3.543348
0.111250,7.422507,-0.499411,4.019160
0.112500,7.122609,-0.198850,4.615045
0.113750,6.735324,0.189137,5.136151
0.115000,6.271860,0.562071,5.660198
0.116250,5.762629,0.714430,6.148808
0.117500,5.298552,0.733271,6.522186
0.118750,4.791613,0.736423,6.825895
0.120000,4.171534,0.644411,6.991860
0.121250,3.527748,0.474800,6.947665
0.122500,2.953327,0.188615,6.808770
0.123750,2.521263,-0.133835,6.621644
0.125000,2.227664,-0.305086,6.396319
0.126250,2.014177,-0.670957,6.227966
0.127500,1.829062,-1.109935,6.143875
0.128750,1.676504,-1.271179,6.112257
0.130000,1.590139,-1.277453,6.089752
0.131250,1.627204,-1.253347,6.098011
0.132500,2.003067,-1.035755,6.212927
0.133750,2.344644,-0.612643,6.394073
0.135000,2.650756,-0.162130,6.541643
0.136250,2.983560,0.358679,6.680590
0.137500,3.316756,0.719765,6.793222
0.138750,3.887687,0.824439,6.797637
0.140000,4.637265,0.917140,6.627982
0.141250,5.440670,0.907452,6.374115
0.142500,6.123663,0.753500,6.047978
0.143750,6.658649,0.442111,5.601081
0.145000,7.151560,-0.019010,5.033094
0.146250,7.632389,-0.292262,4.485082
0.147500,7.998311,-0.568807,3.978205
0.148750,8.310330,-0.894324,3.423857
0.150000,8.563956,-1.038826,3.016616
0.151250,8.665064,-1.006504,2.822582
0.152500,8.594124,-0.857739,2.676232
0.153750,8.364370,-0.669045,2.587616
0.155000,8.029814,-0.426517,2.600004
0.156250,7.611341,-0.185827,2.750854
0.157500,7.153989,0.119365,2.964348
0.158750,6.623519,0.373259,3.092747
0.160000,6.147661,0.469372,3.251780
0.161250,5.605227,0.523369,3.130086
0.162500,4.980262,0.559760,2.776181
0.163750,4.366426,0.554787,2.492557
0.165000,3.728321,0.306734,2.223036
0.166250,3.124425,-0.026662,1.960588
0.167500,2.602680,-0.395999,1.586132
0.168750,2.190644,-0.731931,1.140326
0.170000,1.875403,-0.915324,0.834610
0.171250,1.694498,-1.130792,0.651597
0.172500,1.642241,-1.169999,0.454347
0.173750,1.745889,-1.211711,0.375462
0.175000,1.941811,-1.114441,0.519599
0.176250,2.272157,-0.754895,0.854646
0.177500,2.736613,-0.413855,1.356371
0.178750,3.202740,0.012988,1.901996
0.180000,3.750596,0.386515,2.421937
0.181250,4.367911,0.674362,2.906796
0.182500,4.953408,0.778727,3.213516
0.183750,5.517615,0.758424,3.431230
0.185000,6.080327,0.685207,3.617774
0.186250,6.620820,0.430267,3.680929
0.187500,7.071389,0.103582,3.680925
0.188750,7.458018,-0.343414,3.704977
0.190000,7.842527,-0.881619,3.713227
0.191250,8.213856,-1.377710,3.722684
0.192500,8.383692,-1.682041,3.872790
0.193750,8.331501,-1.826005,3.978112
0.195000,8.186509,-1.966399,4.056401
0.196250,8.001140,-1.920601,4.428931
0.197500,7.824765,-1.521059,5.033497
0.198750,7.533744,-1.049797,5.607497
0.200000,7.105768,-0.673513,6.175615
0.201250,6.632076,-0.235235,6.721763
0.202500,6.204045,0.211203,7.139071
0.203750,5.688639,0.486748,7.562524
0.205000,5.051987,0.662554,7.929269
0.206250,4.435058,0.725744,8.028195
0.207500,3.850789,0.539322,7.892089
0.208750,3.358760,0.228316,7.601466
0.210000,2.887428,-0.185595,7.232345
0.211250,2.466979,-0.533667,6.908678
0.212500,2.201512,-0.757371,6.583192
0.213750,1.986541,-1.016978,6.282248
0.215000,1.829183,-1.313657,6.092802
0.216250,1.787838,-1.404673,6.029646
0.217500,1.854546,-1.100207,6.148929
0.218750,2.155442,-0.830161,6.394564
0.220000,2.582554,-0.595831,6.671475
0.221250,3.030121,-0.229323,6.937439
0.222500,3.517101,0.133129,7.249060
0.223750,3.881321,0.475904,7.555041
0.225000,4.335729,0.610135,7.679061
0.226250,4.971877,0.551581,7.611930
0.227500,5.599067,0.513116,7.446684
0.228750,6.220272,0.298220,7.079370
0.230000,6.779004,-0.096941,6.593740
0.231250,7.224413,-0.401386,6.122192
0.232500,7.561874,-0.654942,5.552128
0.233750,7.918764,-0.918730,4.922951
0.235000,8.246420,-1.167458,4.443757
0.236250,8.502383,-1.387902,4.075468
0.237500,8.682608,-1.437921,3.833487
0.238750,8.630417,-1.328366,3.764881
0.240000,8.367110,-1.164899,3.705913
0.241250,8.040600,-0.844676,3.728924
0.242500,7.627625,-0.491613,3.646844
0.243750,6.996928,-0.118230,3.489983
0.245000,6.487213,0.319047,3.535385
0.246250,6.040698,0.646833,3.711577
0.247500,5.392088,0.876021,3.744672
0.248750,4.835484,0.992234,3.626707
0.250000,4.365271,0.766246,3.341724
0.251250,3.946427,0.287003,2.927263
0.252500,3.498258,-0.092619,2.521823
0.253750,3.038720,-0.301681,2.063558
0.255000,2.617921,-0.524124,1.604303
0.256250,2.259027,-0.836499,1.211725
0.257500,1.970255,-1.050705,0.994279
0.258750,1.741672,-1.128322,0.899893
0.260000,1.713870,-1.090264,0.869974
